Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
-0.149892,0.988678,-0.000347165,0.999976,18.8145,-0.470705,0,18.8204,0.5,0,12,37.7757,-11.0035,0.309362,-0.165036,0.000367736,0.350631,0,138,1
-0.153809,0.988068,-0.000351791,0.999968,18.8121,-0.471051,0,18.818,0.5,0,12,41.2537,-12.2382,0.292419,-0.168135,0.000375414,0.33731,0,139,1
-0.147922,0.988973,-0.000368125,0.999974,18.8155,-0.470574,0,18.8213,0.5,0,12,36.493,-10.552,0.315068,-0.163737,0.00034278,0.355074,0,140,1
-0.145963,0.989266,-0.000348873,0.999976,18.8164,-0.470443,0,18.8222,0.5,0,12,35.2281,-10.1021,0.320723,-0.162448,0.000293418,0.359517,0,141,1
0.053578,0.998542,-2.13305e-05,0.999978,19.1323,-0.470455,0,19.1381,0.5,0,12,-25.3344,-17.0505,-0.340029,0.0131606,7.26226e-05,0.340283,0,142,1
0.0535952,0.998541,-2.01762e-05,0.999978,19.1322,-0.470449,0,19.138,0.5,0,12,-25.3081,-17.0513,-0.340028,0.0133641,7.98906e-05,0.340291,0,143,1
0.0536124,0.99854,-2.17992e-05,0.999978,19.1321,-0.470443,0,19.1379,0.5,0,12,-25.2821,-17.0521,-0.340028,0.0135696,7.19741e-05,0.340298,0,144,1
0.0527317,0.998586,-1.28723e-05,0.999978,19.1372,-0.470709,0,19.143,0.5,0,12,-25.7161,-16.8845,-0.338226,0.00380173,8.54962e-05,0.338248,0,145,1
0.0531542,0.998564,-4.23763e-05,0.999978,19.1347,-0.470582,0,19.1405,0.5,0,12,-25.5309,-16.9678,-0.339127,0.00848744,-0.000106802,0.339233,0,146,1
0.0517899,0.998636,-6.66035e-06,0.999978,19.1421,-0.47095,0,19.1479,0.5,0,12,-24.5892,-16.6279,-0.33444,-0.00550777,9.92848e-05,0.334485,0,147,1
0.0522601,0.998611,-2.45986e-05,0.999978,19.1396,-0.470829,0,19.1454,0.5,0,12,-25.1566,-16.7565,-0.336332,-0.000847788,-7.69267e-05,0.336333,0,148,1
0.0508094,0.998686,-2.68221e-06,0.999977,19.1469,-0.471177,0,19.1527,0.5,0,12,-22.2221,-16.2992,-0.328463,-0.01478,0.000113706,0.328795,0,149,1
