Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
-0.118777,0.992921,-0.000837419,1,9.41475,-0.374093,0,9.42218,0.5,0,10,2.51441,-2.51592,1.21341,-0.00749587,0.0054886,1.21345,0,137,1
-0.13195,0.991256,-8.30016e-05,1,9.43436,-0.372025,0,9.44169,0.5,0,10,1.96879,-2.44318,1.21593,-0.00786643,0.00620398,1.21597,0,138,1
-0.143099,0.989708,5.84109e-06,1,9.45397,-0.369746,0,9.4612,0.5,0,10,1.54431,-2.36467,1.22416,-0.00536838,0.00613227,1.22419,0,139,1
-0.148126,0.988968,-0.000176058,1,9.47358,-0.367378,0,9.4807,0.5,0,10,1.34869,-2.24687,1.23491,-0.00312814,0.0060108,1.23493,0,140,1
-0.152444,0.988312,-0.000571584,1,9.49319,-0.364928,0,9.5002,0.5,0,10,1.3559,-2.07436,1.24813,-0.000427465,0.00591662,1.24814,0,141,1
-0.153814,0.988099,-0.000904105,1,9.5128,-0.362318,0,9.51969,0.5,0,10,1.48372,-1.84855,1.26133,0.00242368,0.0060364,1.26135,0,142,1
-0.150499,0.988609,-0.00108496,1,9.52958,-0.36,0,9.53638,0.5,0,10,1.68846,-1.61732,1.27256,0.00522662,0.00629678,1.27258,0,143,1
0.915864,0.38834,0.101911,1,6.88515,-0.349572,0,6.89402,0.5,0,10,-5.80329,8.32696,1.40694,0.0271719,-0.0152229,1.40729,0,144,1
0.928389,0.359227,0.0951349,1,6.88136,-0.34,0,6.88975,0.5,0,10,-8.49248,8.48445,1.38557,0.0129414,-0.0253495,1.38586,0,145,1
-0.149907,0.988699,-0.00111408,1,9.53241,-0.359536,0,9.53918,0.5,0,10,1.71566,-1.59682,1.27369,0.00607252,0.00628541,1.27372,0,146,1
-0.145351,0.989379,-0.00123409,1,9.55201,-0.356446,0,9.55866,0.5,0,10,1.95228,-1.47797,1.27951,0.0117624,0.00627643,1.27958,0,147,1
-0.142356,0.989815,-0.00119719,1,9.57162,-0.353544,0,9.57815,0.5,0,10,1.95931,-1.37041,1.28318,0.0127077,0.00622127,1.28326,0,148,1
-0.145747,0.989321,-0.0011827,1,9.59123,-0.350754,0,9.59764,0.5,0,10,1.98216,-1.18896,1.28869,0.011714,0.00599792,1.28876,0,149,1
-0.16009,0.987102,-0.00119468,1,9.61084,-0.347846,0,9.61714,0.5,0,10,1.99964,-0.91306,1.29632,0.00875741,0.00562675,1.29636,0,150,1
-0.185509,0.982642,-0.00127442,1,9.63045,-0.344442,0,9.63661,0.5,0,10,1.95599,-0.55139,1.30971,0.0105884,0.00502987,1.30976,0,151,1
-0.205469,0.978663,-0.00133135,1,9.65006,-0.340451,0,9.65606,0.5,0,10,1.62769,-0.172837,1.3274,0.0137299,0.00450594,1.32748,0,152,1
-0.207632,0.978206,-0.00133417,1,9.65205,-0.34,0,9.65804,0.5,0,10,1.5776,-0.135355,1.32955,0.0142609,0.00445856,1.32963,0,153,1
0.937827,0.33591,0.0874299,1,6.87497,-0.32,0,6.88241,0.5,0,10,-11.0334,8.53312,1.32526,-0.0124694,-0.0485798,1.32621,0,154,1
